dataset,eval_metric,corr_metric,pair,value
newsroom,bertscore-sentence,pearsonr,"(Coherence, P)",0.6420093899971998
newsroom,bertscore-sentence,pearsonr,"(Coherence, R)",0.4707240100527591
newsroom,bertscore-sentence,pearsonr,"(Coherence, F)",0.5509485618264296
newsroom,bertscore-sentence,pearsonr,"(Informativeness, P)",0.7068599311485386
newsroom,bertscore-sentence,pearsonr,"(Informativeness, R)",0.6370770438805435
newsroom,bertscore-sentence,pearsonr,"(Informativeness, F)",0.6986466628736085
newsroom,bertscore-sentence,pearsonr,"(Fluency, P)",0.5919915007921712
newsroom,bertscore-sentence,pearsonr,"(Fluency, R)",0.4155398465865318
newsroom,bertscore-sentence,pearsonr,"(Fluency, F)",0.49217630377225247
newsroom,bertscore-sentence,pearsonr,"(Relevance, P)",0.7493382508892217
newsroom,bertscore-sentence,pearsonr,"(Relevance, R)",0.6189331808011034
newsroom,bertscore-sentence,pearsonr,"(Relevance, F)",0.6985174403750466
newsroom,bertscore-sentence,kendalltau,"(Coherence, P)",0.4599703768447911
newsroom,bertscore-sentence,kendalltau,"(Coherence, R)",0.3221509993327448
newsroom,bertscore-sentence,kendalltau,"(Coherence, F)",0.3731546081580914
newsroom,bertscore-sentence,kendalltau,"(Informativeness, P)",0.4352450064949642
newsroom,bertscore-sentence,kendalltau,"(Informativeness, R)",0.4457690218925458
newsroom,bertscore-sentence,kendalltau,"(Informativeness, F)",0.4791962720328406
newsroom,bertscore-sentence,kendalltau,"(Fluency, P)",0.44054781803757204
newsroom,bertscore-sentence,kendalltau,"(Fluency, R)",0.2864448902360722
newsroom,bertscore-sentence,kendalltau,"(Fluency, F)",0.33911574956077045
newsroom,bertscore-sentence,kendalltau,"(Relevance, P)",0.450459888403456
newsroom,bertscore-sentence,kendalltau,"(Relevance, R)",0.4106832426505696
newsroom,bertscore-sentence,kendalltau,"(Relevance, F)",0.4493601235260625
newsroom,bertscore-sentence,spearmanr,"(Coherence, P)",0.6134452767630848
newsroom,bertscore-sentence,spearmanr,"(Coherence, R)",0.44222986643011347
newsroom,bertscore-sentence,spearmanr,"(Coherence, F)",0.5066475681304835
newsroom,bertscore-sentence,spearmanr,"(Informativeness, P)",0.5857378891557679
newsroom,bertscore-sentence,spearmanr,"(Informativeness, R)",0.5996269437322165
newsroom,bertscore-sentence,spearmanr,"(Informativeness, F)",0.6386625701739536
newsroom,bertscore-sentence,spearmanr,"(Fluency, P)",0.591170808572363
newsroom,bertscore-sentence,spearmanr,"(Fluency, R)",0.3945964218282078
newsroom,bertscore-sentence,spearmanr,"(Fluency, F)",0.4624801496005824
newsroom,bertscore-sentence,spearmanr,"(Relevance, P)",0.6001043893908033
newsroom,bertscore-sentence,spearmanr,"(Relevance, R)",0.5547699234102075
newsroom,bertscore-sentence,spearmanr,"(Relevance, F)",0.6013216259072565
realsumm_abs,bertscore-sentence,pearsonr,"(litepyramid_recall, P)",0.06159846993929815
realsumm_abs,bertscore-sentence,pearsonr,"(litepyramid_recall, R)",0.3520037694452085
realsumm_abs,bertscore-sentence,pearsonr,"(litepyramid_recall, F)",0.37448996192534034
realsumm_abs,bertscore-sentence,kendalltau,"(litepyramid_recall, P)",0.05096063483837915
realsumm_abs,bertscore-sentence,kendalltau,"(litepyramid_recall, R)",0.2263688793499535
realsumm_abs,bertscore-sentence,kendalltau,"(litepyramid_recall, F)",0.24076803273150732
realsumm_abs,bertscore-sentence,spearmanr,"(litepyramid_recall, P)",0.07565233829396732
realsumm_abs,bertscore-sentence,spearmanr,"(litepyramid_recall, R)",0.33046118435804156
realsumm_abs,bertscore-sentence,spearmanr,"(litepyramid_recall, F)",0.34953079586803276
realsumm_ext,bertscore-sentence,pearsonr,"(litepyramid_recall, P)",0.018451597529333473
realsumm_ext,bertscore-sentence,pearsonr,"(litepyramid_recall, R)",0.17396396291579957
realsumm_ext,bertscore-sentence,pearsonr,"(litepyramid_recall, F)",0.16817103607428355
realsumm_ext,bertscore-sentence,kendalltau,"(litepyramid_recall, P)",0.019848652671053846
realsumm_ext,bertscore-sentence,kendalltau,"(litepyramid_recall, R)",0.11685916654209433
realsumm_ext,bertscore-sentence,kendalltau,"(litepyramid_recall, F)",0.1142752792079305
realsumm_ext,bertscore-sentence,spearmanr,"(litepyramid_recall, P)",0.02887930271611975
realsumm_ext,bertscore-sentence,spearmanr,"(litepyramid_recall, R)",0.17139750531929557
realsumm_ext,bertscore-sentence,spearmanr,"(litepyramid_recall, F)",0.1690092576047637
